model,cv_accuracy,gen_accuracy,gap
Random Forest,0.9961187985150186,0.8893216488153197,0.10679714969969889
XGBoost,0.9964562942963213,0.8023369036027264,0.19411939069359496
SVM,0.998650016874789,0.8857513794222655,0.1128986374525236
