model,noise_pct,accuracy
Random Forest,0.0,0.8893216488153197
Random Forest,0.05,0.8805582603050958
Random Forest,0.1,0.866601752677702
Random Forest,0.2,0.8360921778643298
Random Forest,0.3,0.8059071729957806
XGBoost,0.0,0.8023369036027264
XGBoost,0.05,0.8007140538786108
XGBoost,0.1,0.8036351833820188
XGBoost,0.2,0.777345017851347
XGBoost,0.3,0.7650113599480688
SVM,0.0,0.8857513794222655
SVM,0.05,0.8828302499188575
SVM,0.1,0.878286270691334
SVM,0.2,0.857513794222655
SVM,0.3,0.8393378773125608
